# species: Drosophila melanogaster
# support: EXP, IMP, HMP, HEP, IDA, IGI, HGI, IPI, IEP, HDA
# associations retrieved on: 2019-04-24 10:40:28-04
# gofunc built on: 2018-02-21 10:04:34.764444-05
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/gene_association.fb.gz
#   revision: 2018-02-02 $
#   downloaded on: 2018-02-14 09:47:16-05
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201512-termdb-tables.tar.gz
#   downloaded on: 2015-12-22 05:43:21-05
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2015-11-17 14:24:21.26681-05
#     synergizer db built from: Ensembl Genes 82 / Metazoa Mart / Plant Mart
#   namespace: flybasecgid_gene
#   coverage: 99.4%
# size of "genespace": 12880
# number of attributes: 8227
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
GO:0000001	mitochondrion inheritance	CG42551 CG8862
GO:0007350	blastoderm segmentation	CG11561 CG14226 CG1594 CG1759 CG1844 CG3696 CG3851 CG3978 CG42320 CG4257 CG43286 CG5072 CG5855 CG5893 CG7471
GO:0007352	zygotic specification of dorsal/ventral axis	CG3018 CG5974 CG9885
GO:0007355	anterior region determination	CG1034
GO:0007359	posterior abdomen determination	CG10901
GO:0007362	terminal region determination	CG10021 CG10619 CG11411 CG11770 CG12212 CG1378 CG1389 CG1502 CG15793 CG17077 CG2252 CG2762 CG2845 CG3954 CG42600 CG43122 CG4790 CG5619 CG6217 CG6705 CG6868 CG7952 CG9224 CG9559 CG9786
GO:0007365	periodic partitioning	CG10072 CG10079 CG10197 CG1034 CG11495 CG11518 CG11614 CG11895 CG12537 CG13415 CG1594 CG2041 CG2125 CG2621 CG2692 CG32146 CG3388 CG3851 CG3874 CG4059 CG4637 CG4792 CG6210 CG6551 CG6671 CG7439 CG8339 CG8817
GO:0007366	periodic partitioning by pair rule gene	CG3851 CG8817
GO:0007367	segment polarity determination	CG10072 CG10079 CG10197 CG1034 CG11495 CG11518 CG11614 CG11895 CG12537 CG13415 CG2041 CG2125 CG2621 CG2692 CG32146 CG3388 CG3874 CG4637 CG4792 CG6210 CG6551 CG6671 CG7439 CG8339
GO:0007368	determination of left/right symmetry	CG10701 CG2248 CG3722 CG5680 CG7438 CG7850 CG7895 CG8416 CG9155
GO:0007369	gastrulation	CG12110 CG13427 CG1389 CG1395 CG1484 CG1487 CG15797 CG1759 CG17678 CG2845 CG2956 CG3722 CG3956 CG44012 CG4521 CG4922 CG6234 CG7870 CG8416 CG9375
GO:0007370	ventral furrow formation	CG11579 CG1505 CG17962 CG2956 CG3048 CG3210 CG3722 CG3956 CG4032 CG4900 CG4904 CG4920 CG5408 CG5507 CG6811 CG8416 CG8458 CG9559 CG9635
GO:0007374	posterior midgut invagination	CG8416 CG9559 CG9635
GO:0007375	anterior midgut invagination	CG9635
GO:0007376	cephalic furrow formation	CG12653 CG2328
GO:0007377	germ-band extension	CG1056 CG1560 CG1759 CG1849 CG2328 CG4542 CG5055 CG8416 CG9181 CG9635
GO:0007378	amnioserosa formation	CG11582
GO:0007379	segment specification	CG10197 CG1028 CG10388 CG11033 CG11648 CG11849 CG12630 CG13651 CG1374 CG16738 CG17117 CG1759 CG18497 CG2189 CG2714 CG31481 CG32443 CG3696 CG3722 CG4236 CG4257 CG5069 CG5988 CG6097 CG6964 CG7467 CG7870 CG7952 CG8445 CG8591 CG8817 CG9397
GO:0007380	specification of segmental identity, head	CG10197 CG1028 CG12630 CG1374 CG16738 CG17117 CG2189 CG31481 CG5069 CG7952 CG9397
GO:0007381	specification of segmental identity, labial segment	CG31481 CG7952
GO:0007382	specification of segmental identity, maxillary segment	CG31481 CG9397
GO:0007383	specification of segmental identity, antennal segment	CG1028 CG17117
GO:0007384	specification of segmental identity, thorax	CG1028 CG10388 CG1374
GO:0007385	specification of segmental identity, abdomen	CG11648 CG32443 CG6097 CG8445
GO:0007389	pattern specification process	CG10016 CG10021 CG10037 CG1004 CG1007 CG10072 CG10079 CG10108 CG10129 CG10197 CG10263 CG1028 CG10325 CG1034 CG10388 CG10393 CG10520 CG10521 CG1057 CG10571 CG10572 CG10580 CG10605 CG10619 CG1064 CG10683 CG10701 CG10719 CG10728 CG10798 CG10868 CG10901 CG10917 CG11033 CG11084 CG11093 CG11177 CG11181 CG11242 CG11254 CG11331 CG11354 CG11399 CG11411 CG11450 CG11495 CG11513 CG11518 CG11561 CG11579 CG11582 CG11614 CG11648 CG11770 CG11785 CG11849 CG11866 CG11895 CG11949 CG12114 CG12154 CG12212 CG12244 CG12245 CG12249 CG12399 CG1250 CG12537 CG12559 CG12630 CG1264 CG12676 CG12765 CG12767 CG12918 CG13076 CG13190 CG13209 CG13415 CG13431 CG13521 CG13651 CG1374 CG1378 CG1389 CG14026 CG14059 CG14073 CG14080 CG14226 CG14228 CG1451 CG14648 CG14709 CG14884 CG1502 CG1505 CG15085 CG15095 CG1520 CG15224 CG15671 CG15707 CG15792 CG15793 CG1594 CG16738 CG1676 CG16901 CG1696 CG17077 CG17117 CG17149 CG1725 CG17520 CG17579 CG1759 CG17596 CG17610 CG17697 CG1771 CG1775 CG17835 CG17838 CG17958 CG17998 CG18250 CG18361 CG1844 CG18492 CG18497 CG18740 CG1891 CG1897 CG1921 CG1943 CG1945 CG1954 CG2041 CG2047 CG2078 CG2086 CG2125 CG2146 CG2189 CG2248 CG2252 CG2368 CG2530 CG2615 CG2621 CG2671 CG2692 CG2714 CG2762 CG2845 CG2904 CG2910 CG2944 CG2988 CG30115 CG3018 CG31069 CG31150 CG31196 CG31481 CG3158 CG31695 CG31774 CG32062 CG32133 CG32138 CG32146 CG32179 CG32217 CG32443 CG3249 CG32796 CG32858 CG33104 CG33162 CG3325 CG3352 CG33545 CG33554 CG3388 CG33979 CG33991 CG34157 CG3429 CG34333 CG34403 CG3497 CG3539 CG3578 CG3619 CG3629 CG3696 CG3722 CG3830 CG3851 CG3874 CG3903 CG3936 CG3954 CG3978 CG3988 CG40129 CG40411 CG4059 CG4148 CG4204 CG4221 CG42281 CG42312 CG42318 CG42320 CG4236 CG4244 CG4254 CG4257 CG42600 CG42783 CG42829 CG42864 CG43122 CG43227 CG43286 CG43398 CG4353 CG43758 CG4379 CG4385 CG4427 CG44425 CG44436 CG4477 CG4531 CG4547 CG4637 CG4654 CG4790 CG4792 CG4920 CG4965 CG4974 CG4994 CG5055 CG5069 CG5072 CG5119 CG5201 CG5229 CG5248 CG5393 CG5395 CG5403 CG5441 CG5460 CG5481 CG5488 CG5490 CG5529 CG5562 CG5591 CG5619 CG5637 CG5680 CG5730 CG5738 CG5747 CG5753 CG5848 CG5855 CG5890 CG5893 CG5915 CG5942 CG5974 CG5988 CG6097 CG6127 CG6134 CG6137 CG6148 CG6193 CG6203 CG6210 CG6217 CG6235 CG6551 CG6604 CG6634 CG6671 CG6677 CG6705 CG6755 CG6773 CG6792 CG6824 CG6868 CG6889 CG6946 CG6963 CG6964 CG6993 CG7037 CG7073 CG7100 CG7225 CG7281 CG7438 CG7439 CG7450 CG7467 CG7471 CG7563 CG7595 CG7623 CG7734 CG7761 CG7765 CG7850 CG7870 CG7890 CG7892 CG7895 CG7904 CG7926 CG7935 CG7948 CG7952 CG7954 CG7972 CG8075 CG8149 CG8166 CG8201 CG8333 CG8339 CG8369 CG8405 CG8416 CG8440 CG8445 CG8491 CG8581 CG8591 CG8709 CG8715 CG8732 CG8781 CG8817 CG8994 CG9015 CG9139 CG9155 CG9211 CG9224 CG9291 CG9369 CG9373 CG9375 CG9397 CG9412 CG9441 CG9559 CG9614 CG9638 CG9696 CG9774 CG9786 CG9885 CG9908 CG9936 CG9985 CR42880 CR42882 CR42891 CR42925 CR42964 CR42971 CR42995 CR43003 CR43013 CR43015
GO:0007390	germ-band shortening	CG10079 CG10619 CG11066 CG12212 CG12437 CG13610 CG15112 CG1765 CG2248 CG2762 CG3992 CG4141 CG4909 CG5588 CG5714 CG6831 CG7847 CG8556 CG9100 CG9764 CR43003
GO:0007391	dorsal closure	CG1004 CG1007 CG10079 CG10263 CG10295 CG10334 CG10379 CG10594 CG10619 CG10624 CG11066 CG11579 CG11949 CG12028 CG12092 CG12212 CG12437 CG12530 CG12676 CG13478 CG14026 CG1448 CG14728 CG14992 CG15112 CG1560 CG15792 CG16973 CG18076 CG18361 CG18492 CG1906 CG1956 CG2049 CG2079 CG2248 CG2272 CG2275 CG3018 CG32156 CG3291 CG33956 CG4032 CG42312 CG43140 CG43398 CG4353 CG43657 CG44128 CG4427 CG4909 CG5588 CG5680 CG5695 CG5771 CG6383 CG6827 CG7230 CG7392 CG7586 CG7850 CG7893 CG7904 CG7954 CG8095 CG8261 CG8416 CG8556 CG8874 CG9100 CG9374 CG9375 CG9491 CG9535 CG9539 CG9695 CG9764 CG9885 CR42943 CR43017
GO:0007394	dorsal closure, elongation of leading edge cells	CG11066 CG18247 CG18361 CG2079 CG2248 CG2272 CG5588 CG5771 CG8556 CG8874
GO:0007395	dorsal closure, spreading of leading edge cells	CG10079 CG10295 CG15792 CG2248 CG4353 CG44128 CG5680 CG8416 CG9375
GO:0007396	suture of dorsal opening	CG15112
GO:0007398	ectoderm development	CG12287 CG7734 CG7847 CG8624
GO:0007399	nervous system development	CG10325 CG10443 CG10897 CG11405 CG11430 CG11579 CG11988 CG12254 CG12935 CG1322 CG1391 CG1449 CG1462 CG15658 CG15765 CG1594 CG1659 CG17228 CG1725 CG17579 CG18024 CG18243 CG1966 CG2671 CG31240 CG31641 CG32062 CG3258 CG3722 CG3827 CG3924 CG3949 CG42273 CG42311 CG42320 CG4257 CG42576 CG4264 CG4548 CG4591 CG5052 CG5325 CG5576 CG5650 CG5848 CG5870 CG5912 CG6121 CG6193 CG6312 CG6383 CG6575 CG6713 CG6869 CG8114 CG8384 CG8494 CG8732 CG9559 CG9972
GO:0007400	neuroblast fate determination	CG10325 CG10719 CG11312 CG17835 CG18497 CG3258 CG3340 CG3827 CG3839 CG3936 CG3938 CG6172 CG7147 CG9015 CG9786
GO:0007402	ganglion mother cell fate determination	CG10719 CG17228 CG6634
GO:0007403	glial cell fate determination	CG12245 CG18497 CG3936
GO:0007405	neuroblast proliferation	CG10267 CG10719 CG11290 CG12249 CG1451 CG17228 CG33336 CG3779 CG3936 CG5692 CG5954 CG6193 CG7507 CG7989 CG8224 CG8416 CG8440 CG9617 CR42937
GO:0007406	negative regulation of neuroblast proliferation	CG10059 CG1057 CG1064 CG10664 CG10719 CG12306 CG1245 CG14724 CG17228 CG1765 CG18740 CG2128 CG2249 CG2469 CG2671 CG3034 CG31670 CG3560 CG3779 CG42517 CG4303 CG5057 CG5214 CG5942 CG6235 CG6884 CG7109 CG7467 CG7834 CG8491 CG8609 CG9473
GO:0007409	axonogenesis	CG1004 CG10107 CG11895 CG12359 CG12424 CG12717 CG14884 CG15112 CG1520 CG1634 CG17228 CG18076 CG18319 CG1938 CG2259 CG2522 CG2988 CG31721 CG3359 CG3401 CG34387 CG3664 CG3722 CG4032 CG4254 CG42616 CG42698 CG43720 CG4494 CG4609 CG4636 CG4637 CG4974 CG5387 CG5837 CG5870 CG5942 CG6203 CG6238 CG6634 CG7261 CG7765 CG7771 CG7893 CG8104 CG8203 CG8581 CG8978 CG9015 CG9495 CG9704 CG9749
GO:0007411	axon guidance	CG10033 CG10037 CG10107 CG10117 CG10236 CG10295 CG10377 CG10443 CG10497 CG10521 CG10538 CG10572 CG10573 CG10601 CG10619 CG10642 CG10699 CG10701 CG10719 CG1081 CG10975 CG11081 CG11199 CG11280 CG11282 CG11290 CG11516 CG11527 CG11546 CG11895 CG12047 CG12212 CG12245 CG12424 CG12530 CG12664 CG1322 CG13521 CG13906 CG14351 CG14521 CG14622 CG14728 CG15010 CG15112 CG15138 CG15427 CG1560 CG15862 CG1634 CG16801 CG16973 CG16987 CG17228 CG17245 CG17348 CG17520 CG17559 CG1771 CG1775 CG17800 CG1794 CG17943 CG1799 CG18024 CG1817 CG18214 CG1822 CG18243 CG18250 CG18361 CG18405 CG1845 CG1849 CG18497 CG1862 CG18657 CG2179 CG2248 CG2262 CG2328 CG2411 CG2507 CG30040 CG30092 CG3051 CG3075 CG31043 CG31062 CG31196 CG31352 CG31721 CG32120 CG32146 CG32227 CG32239 CG32435 CG32904 CG33202 CG33208 CG3340 CG3385 CG33960 CG33979 CG3401 CG3421 CG3533 CG3665 CG3696 CG3705 CG3727 CG3886 CG3915 CG3924 CG3936 CG3937 CG4007 CG4032 CG4166 CG42234 CG42279 CG42543 CG42576 CG42636 CG4264 CG42698 CG4320 CG43443 CG4353 CG43749 CG43758 CG44128 CG4532 CG4548 CG4698 CG4700 CG4838 CG4845 CG4846 CG4930 CG4931 CG4952 CG4974 CG5000 CG5092 CG5201 CG5206 CG5387 CG5403 CG5423 CG5481 CG5545 CG5650 CG5680 CG5723 CG5802 CG5803 CG5813 CG5864 CG5870 CG5893 CG6134 CG6203 CG6407 CG6502 CG6531 CG6584 CG6601 CG6634 CG6725 CG6806 CG6863 CG6867 CG6899 CG7034 CG7100 CG7147 CG7177 CG7524 CG7659 CG7765 CG7771 CG7893 CG7904 CG7952 CG8095 CG8166 CG8203 CG8224 CG8250 CG8416 CG8440 CG8472 CG8561 CG8566 CG8581 CG8595 CG8651 CG8732 CG8874 CG8967 CG8980 CG9015 CG9063 CG9151 CG9181 CG9218 CG9242 CG9280 CG9397 CG9553 CG9554 CG9559 CG9623 CG9656 CG9659 CG9695 CG9704 CG9739 CG9749 CG9972
GO:0007412	axon target recognition	CG10443 CG10743 CG11199 CG11206 CG18214 CG18319 CG4166 CG42698 CG7100 CG7526 CG8254
GO:0007413	axonal fasciculation	CG10975 CG14001 CG1520 CG17800 CG1794 CG2248 CG3533 CG4264 CG4636 CG4859 CG6203 CG6634 CG7558 CG8978 CG9535 CG9704
GO:0007414	axonal defasciculation	CG10975 CG11516 CG1212 CG15427 CG1771 CG32555 CG4838 CG4846 CG6863 CG8114 CG9623
GO:0007415	defasciculation of motor neuron axon	CG10975 CG11516 CG32555 CG4838 CG4846 CG6863 CG8114
GO:0007416	synapse assembly	CG10105 CG10327 CG10443 CG10743 CG10776 CG1081 CG10967 CG1099 CG11199 CG11282 CG1210 CG13772 CG14994 CG15319 CG15433 CG16944 CG17228 CG1725 CG1743 CG17943 CG18319 CG18405 CG2275 CG2374 CG2621 CG30040 CG30483 CG31146 CG31240 CG31641 CG32490 CG33208 CG33956 CG3985 CG4141 CG4233 CG42338 CG42783 CG5055 CG5092 CG5490 CG5514 CG5670 CG5723 CG5884 CG6668 CG7050 CG7549 CG8002 CG8201 CG8428 CG8959
GO:0007417	central nervous system development	CG10327 CG10379 CG10480 CG10594 CG11551 CG11987 CG12028 CG12092 CG12154 CG12287 CG12437 CG13475 CG13478 CG14307 CG14728 CG15002 CG1560 CG16725 CG17228 CG18024 CG1817 CG18214 CG1977 CG2102 CG31048 CG3114 CG32434 CG3312 CG3758 CG3956 CG4032 CG4143 CG4158 CG4262 CG4832 CG4926 CG5336 CG5393 CG5837 CG5893 CG6634 CG6760 CG6817 CG6866 CG6899 CG6944 CG7223 CG7230 CG7383 CG7847 CG7893 CG8091 CG8254 CG8308 CG8427 CG8825 CG9397 CG9429 CG9535 CG9704 CG9768
GO:0007418	ventral midline development	CG16778 CG2304 CG3954 CG4637 CG7771 CG8118 CG9015 CG9397
GO:0007419	ventral cord development	CG10060 CG10197 CG1028 CG10480 CG10522 CG10719 CG10776 CG11397 CG11502 CG11551 CG11856 CG11988 CG12154 CG12249 CG12399 CG13076 CG15010 CG1560 CG1772 CG17800 CG1794 CG1911 CG2102 CG2204 CG2248 CG2469 CG2988 CG31619 CG32443 CG32904 CG3298 CG34415 CG3886 CG3938 CG4032 CG4158 CG42311 CG42341 CG4322 CG4510 CG4859 CG5109 CG5248 CG5423 CG5481 CG5562 CG5595 CG5931 CG5942 CG6281 CG6292 CG6376 CG6545 CG7147 CG7223 CG7771 CG7895 CG8222 CG8241 CG8667 CG8877 CG8896 CG9311 CG9495 CG9554 CG9623
GO:0007420	brain development	CG10037 CG1004 CG1021 CG10491 CG10604 CG10719 CG11987 CG12154 CG1264 CG13969 CG14001 CG1451 CG1464 CG1650 CG17117 CG17228 CG1897 CG2988 CG3525 CG3722 CG3953 CG4158 CG4491 CG4944 CG5893 CG6172 CG6193 CG6203 CG7508 CG7771 CG8824 CG8933 CG9553 CG9908
GO:0007421	stomatogastric nervous system development	CG10334 CG4385
GO:0007422	peripheral nervous system development	CG10037 CG1007 CG10079 CG10108 CG10334 CG10491 CG10601 CG11312 CG11798 CG11988 CG12092 CG15002 CG1511 CG17117 CG17228 CG1765 CG17800 CG18214 CG18497 CG1862 CG2248 CG31240 CG32120 CG3619 CG3796 CG3827 CG3870 CG3920 CG3936 CG3938 CG4832 CG5785 CG6207 CG6760 CG7727 CG8308 CG8416 CG8427 CG8624 CG8933 CG9375 CG9985
GO:0007423	sensory organ development	CG10079 CG10083 CG10108 CG10229 CG1030 CG10393 CG10447 CG1046 CG10488 CG1049 CG10521 CG10572 CG10580 CG10619 CG10704 CG1072 CG10978 CG11027 CG11121 CG11186 CG11228 CG11274 CG11354 CG11798 CG11849 CG11893 CG11988 CG12154 CG12163 CG12212 CG12284 CG12487 CG12532 CG12537 CG1263 CG12630 CG12676 CG12755 CG12770 CG12800 CG13465 CG13651 CG1374 CG14001 CG14204 CG1464 CG1469 CG1500 CG15085 CG15112 CG15151 CG1518 CG1520 CG15319 CG15929 CG1594 CG1689 CG1709 CG17090 CG17117 CG17437 CG17520 CG17579 CG18455 CG18492 CG18497 CG18582 CG18657 CG18660 CG2092 CG2446 CG2604 CG2621 CG2671 CG2674 CG2762 CG2767 CG2835 CG2910 CG3048 CG3073 CG3096 CG31012 CG31020 CG3166 CG31721 CG31774 CG3208 CG32120 CG32146 CG32179 CG32301 CG3258 CG3265 CG32796 CG32904 CG33197 CG3340 CG33956 CG33979 CG3488 CG3619 CG3796 CG3827 CG3845 CG3848 CG3874 CG3924 CG3935 CG3936 CG3956 CG3978 CG4029 CG4032 CG4063 CG4080 CG4125 CG4163 CG42277 CG42312 CG42320 CG4254 CG42616 CG42783 CG43140 CG43398 CG43860 CG44128 CG4427 CG44425 CG4451 CG4491 CG4523 CG4531 CG4579 CG4620 CG4713 CG4719 CG4881 CG4905 CG4931 CG4952 CG4974 CG5053 CG5099 CG5166 CG5185 CG5195 CG5198 CG5229 CG5354 CG5595 CG5629 CG5640 CG5675 CG5723 CG5771 CG5820 CG5838 CG5841 CG5864 CG6099 CG6104 CG6127 CG6235 CG6238 CG6315 CG6464 CG6586 CG6687 CG6741 CG6803 CG6829 CG6964 CG6998 CG7034 CG7281 CG7508 CG7558 CG7583 CG7595 CG7755 CG7760 CG7850 CG7892 CG7935 CG7937 CG7957 CG8068 CG8091 CG8246 CG8293 CG8337 CG8354 CG8365 CG8385 CG8404 CG8444 CG8491 CG8538 CG8544 CG8581 CG8637 CG8651 CG8933 CG8978 CG8991 CG9012 CG9113 CG9126 CG9198 CG9211 CG9375 CG9388 CG9415 CG9491 CG9495 CG9554 CG9749 CG9772 CG9847 CG9932 CG9936 CG9949 CR42883 CR42886 CR42938 CR43018
GO:0007424	open tracheal system development	CG10234 CG10388 CG10624 CG10726 CG11648 CG12072 CG12212 CG12369 CG13221 CG13664 CG1397 CG14026 CG14029 CG14226 CG14622 CG14779 CG1528 CG1594 CG17077 CG1768 CG1794 CG18076 CG18102 CG1817 CG1916 CG1921 CG2210 CG2248 CG2666 CG2988 CG31317 CG32209 CG32296 CG33101 CG33196 CG3389 CG3411 CG3541 CG3722 CG3758 CG3954 CG4006 CG4123 CG4143 CG4220 CG42311 CG4257 CG42865 CG43140 CG44015 CG44128 CG4451 CG4491 CG4608 CG4780 CG4859 CG5032 CG5072 CG5123 CG5169 CG5344 CG5393 CG5785 CG6147 CG6217 CG6383 CG6464 CG6494 CG6831 CG6899 CG7199 CG7230 CG7235 CG7480 CG7524 CG7749 CG7893 CG7904 CG7962 CG8049 CG8416 CG8556 CG8561 CG8756 CG8804 CG8977 CG8996 CG9261 CG9326 CG9397 CG9535 CG9712
GO:0007425	epithelial cell fate determination, open tracheal system	CG42865 CG5671
GO:0007426	tracheal outgrowth, open tracheal system	CG17077 CG1794 CG1856 CG1921 CG2248 CG2899 CG31317 CG3715 CG42311 CG5738 CG6281 CG6556 CG6721 CG7230 CG7793 CG8556 CG9375
GO:0007427	epithelial cell migration, open tracheal system	CG10072 CG10263 CG10497 CG1214 CG13221 CG14869 CG17077 CG17927 CG18102 CG2210 CG32474 CG3758 CG3954 CG4006 CG43758 CG4637 CG5393 CG6521 CG7230 CG7847 CG8339 CG9885
GO:0007428	primary branching, open tracheal system	CG14080 CG17077 CG42636 CG7904
GO:0007429	secondary branching, open tracheal system	CG17077
GO:0007430	terminal branching, open tracheal system	CG1081 CG15532 CG1709 CG2666 CG32018 CG33101 CG3411 CG42783 CG44015 CG4491 CG4608 CG4624 CG4780 CG5092 CG5169 CG5344 CG5884 CG6831 CG6944 CG7007 CG7962 CG8977 CG9060 CG9712
GO:0007431	salivary gland development	CG10002 CG10079 CG12952 CG1560 CG42865 CG6025 CG7450 CG7749 CG8095 CG8487 CG8717
GO:0007432	salivary gland boundary specification	CG10521 CG11177 CG13521 CG1771 CG43758 CG5481 CG8166 CG8581
GO:0007435	salivary gland morphogenesis	CG10002 CG1004 CG11177 CG11280 CG11282 CG12437 CG13780 CG14813 CG14869 CG1528 CG1546 CG15792 CG17348 CG17559 CG1768 CG17697 CG1771 CG18102 CG18361 CG18647 CG2248 CG2671 CG2956 CG30040 CG31014 CG3322 CG3388 CG34378 CG34403 CG3722 CG3915 CG3992 CG4051 CG4091 CG4141 CG42610 CG42636 CG42865 CG44012 CG44128 CG4698 CG5588 CG5671 CG5738 CG6127 CG6383 CG6407 CG6494 CG6794 CG6829 CG7103 CG7230 CG7524 CG7788 CG7863 CG7895 CG7998 CG7999 CG8049 CG8091 CG8222 CG8416 CG8556 CG8730 CG9359 CG9553 CG9554 CG9623 CG9739 CG9768
GO:0007436	larval salivary gland morphogenesis	CG1004 CG11177 CG11280 CG11282 CG14813 CG14869 CG1528 CG4051 CG4141 CG44012 CG5671 CG6127 CG9553
GO:0007438	oenocyte development	CG1004 CG10293 CG10325 CG10334 CG3193 CG6464 CG7508 CG8933
GO:0007439	ectodermal digestive tract development	CG10726 CG12437 CG8996
GO:0007440	foregut morphogenesis	CG10016 CG11770 CG3936 CG4590 CG5785 CG5993 CG7749
GO:0007442	hindgut morphogenesis	CG10016 CG10021 CG11770 CG12437 CG14226 CG1594 CG1759 CG4257 CG4637 CG5785 CG5893 CG5993 CG7230 CG7260 CG7749 CG9885
GO:0007443	Malpighian tubule morphogenesis	CG10002 CG10079 CG10726 CG12437 CG15792 CG16858 CG1765 CG2666 CG2956 CG3193 CG3851 CG3956 CG42865 CG5052 CG5201 CG5714 CG5785 CG6197 CG6378 CG6383 CG7103 CG7230 CG7260 CG7734 CG7904 CG8114 CG8222 CG8996 CG9885
GO:0007444	imaginal disc development	CG10021 CG10079 CG10118 CG10200 CG10229 CG10369 CG10392 CG1044 CG10488 CG10540 CG10645 CG10697 CG1072 CG10850 CG11094 CG11186 CG11334 CG11466 CG11518 CG11770 CG11893 CG11940 CG12109 CG12163 CG12389 CG12755 CG12800 CG13366 CG13688 CG1374 CG14026 CG14204 CG1449 CG1518 CG15527 CG16884 CG17158 CG1716 CG1759 CG1780 CG2125 CG2446 CG2604 CG2674 CG2767 CG2835 CG2916 CG2995 CG30069 CG31666 CG31794 CG31991 CG32177 CG32418 CG33104 CG33193 CG3333 CG3340 CG3352 CG33956 CG3411 CG34395 CG3488 CG3564 CG3664 CG3758 CG3830 CG3929 CG3935 CG3936 CG3953 CG3954 CG4063 CG4080 CG4162 CG4173 CG4220 CG42840 CG43140 CG4316 CG4370 CG44159 CG44425 CG4472 CG4475 CG4491 CG4531 CG4559 CG4579 CG4608 CG4637 CG4719 CG4775 CG4974 CG5133 CG5154 CG5198 CG5201 CG5446 CG5786 CG5794 CG6025 CG6127 CG6359 CG6498 CG6803 CG6998 CG7111 CG7177 CG7187 CG7583 CG7693 CG7758 CG7769 CG7937 CG8264 CG8404 CG8544 CG8553 CG8815 CG9015 CG9139 CG9239 CG9241 CG9415 CG9484 CG9772 CG9842 CG9847 CG9885 CG9932 CR42891 CR43013
GO:0007445	determination of imaginal disc primordium	CG1004 CG10079 CG10325 CG10334 CG11648 CG17077 CG2411 CG4385 CG5133 CG7771
GO:0007446	imaginal disc growth	CG10917 CG12072 CG16975 CG1800 CG2048 CG3352 CG3762 CG43770 CG9484
GO:0007447	imaginal disc pattern formation	CG10079 CG10325 CG10580 CG11354 CG11399 CG11648 CG12212 CG12399 CG13076 CG1374 CG14026 CG14073 CG1451 CG14709 CG15095 CG17077 CG1759 CG18497 CG1891 CG1897 CG1943 CG2086 CG2125 CG2910 CG31196 CG32133 CG32146 CG32217 CG32796 CG3352 CG33545 CG33554 CG33979 CG33991 CG3497 CG3539 CG3578 CG3619 CG3629 CG3830 CG3874 CG3936 CG3988 CG4221 CG4244 CG43122 CG4379 CG4427 CG44436 CG4477 CG4637 CG4974 CG4994 CG5201 CG5229 CG5395 CG5460 CG5488 CG5529 CG5562 CG5730 CG5890 CG5915 CG6193 CG6235 CG6604 CG6634 CG6889 CG7467 CG7734 CG7890 CG7926 CG8149 CG8333 CG8369 CG8405 CG8817 CG9015 CG9211 CG9397 CG9638 CG9696 CG9885 CG9908 CG9936 CR42880 CR43013 CR43015
GO:0007448	anterior/posterior pattern specification, imaginal disc	CG10325 CG11648 CG12399 CG14026 CG1759 CG1891 CG2125 CG32133 CG3578 CG4379 CG4637 CG5201 CG7734 CG9015 CG9885
GO:0007449	proximal/distal pattern formation, imaginal disc	CG10079 CG11354 CG1374 CG3629 CG3830 CG4221 CG5488 CG5529 CG9397 CG9908
GO:0007450	dorsal/ventral pattern formation, imaginal disc	CG10580 CG11399 CG12212 CG13076 CG1374 CG14073 CG14709 CG15095 CG17077 CG1897 CG1943 CG2086 CG31196 CG32146 CG32217 CG33979 CG33991 CG3497 CG3539 CG3619 CG3830 CG3936 CG3988 CG4244 CG43122 CG4427 CG44436 CG4477 CG4974 CG4994 CG5229 CG5395 CG5460 CG5730 CG5890 CG5915 CG6889 CG7467 CG7734 CG7890 CG8149 CG8333 CG8369 CG8405 CG8817 CG9936 CR42880 CR43013 CR43015
GO:0007451	dorsal/ventral lineage restriction, imaginal disc	CG3830
GO:0007455	eye-antennal disc morphogenesis	CG10079 CG1133 CG11561 CG1594 CG17077 CG2411 CG3000 CG4257 CG4531 CG5488 CG5529 CG5993 CG7508 CG7926 CG8224 CG9097 CG9102 CG9375 CG9484 CG9554 CG9885
GO:0007458	progression of morphogenetic furrow involved in compound eye morphogenesis	CG1007 CG11798 CG18455 CG3848 CG4637 CG5714 CG9885
GO:0007460	R8 cell fate commitment	CG7508
GO:0007462	R1/R6 cell fate commitment	CG10108
GO:0007463	R2/R5 cell fate commitment	CG6348
GO:0007464	R3/R4 cell fate commitment	CG15319 CG17077 CG17697 CG2849 CG3166 CG33956 CG42311 CG43398 CG8291
GO:0007465	R7 cell fate commitment	CG10108 CG17228 CG18085 CG3954 CG6669 CG7037 CG7109 CG9856
GO:0007468	regulation of rhodopsin gene expression	CG12154 CG1765 CG2819 CG32120
GO:0007469	antennal development	CG10488 CG11387 CG11849 CG12767 CG13651 CG3629 CG6993 CG7595 CG8787 CG9908
